sampling 100 50-64
Building prefix dict from the default dictionary ...
Loading model from cache C:\Users\宗廷\AppData\Local\Temp\jieba.cache
Loading model cost 1.063 seconds.
Prefix dict has been built succesfully.
spend 21s to load word2vec model from model/bin/ngram_300_3_83w.bin
algorithm  2
completeness 0.50 {'min': 0.88, 'mean': 0.93, 'std': 0.01, 'max': 0.95}
mutual_info 0.61 {'min': 0.81, 'mean': 0.84, 'std': 0.01, 'max': 0.86}
mutual_info 0.62 {'min': 0.8, 'mean': 0.82, 'std': 0.01, 'max': 0.84}
mutual_info 0.63 {'min': 0.78, 'mean': 0.8, 'std': 0.01, 'max': 0.82}
mutual_info 0.64 {'min': 0.76, 'mean': 0.78, 'std': 0.01, 'max': 0.79}

rand 0.50 {'min': 0.73, 'mean': 0.82, 'std': 0.04, 'max': 0.9}
rand 0.51 {'min': 0.77, 'mean': 0.86, 'std': 0.03, 'max': 0.9}
rand 0.52 {'min': 0.81, 'mean': 0.87, 'std': 0.02, 'max': 0.9}
rand 0.53 {'min': 0.83, 'mean': 0.88, 'std': 0.01, 'max': 0.91}
rand 0.54 {'min': 0.86, 'mean': 0.9, 'std': 0.02, 'max': 0.93}
rand 0.55 {'min': 0.87, 'mean': 0.91, 'std': 0.01, 'max': 0.94}
rand 0.56 {'min': 0.87, 'mean': 0.91, 'std': 0.01, 'max': 0.94}
rand 0.57 {'min': 0.87, 'mean': 0.91, 'std': 0.01, 'max': 0.93}
rand 0.58 {'min': 0.87, 'mean': 0.9, 'std': 0.01, 'max': 0.93}
rand 0.59 {'min': 0.86, 'mean': 0.89, 'std': 0.01, 'max': 0.92}
rand 0.60 {'min': 0.85, 'mean': 0.87, 'std': 0.01, 'max': 0.91}
rand 0.61 {'min': 0.84, 'mean': 0.86, 'std': 0.01, 'max': 0.89}
rand 0.62 {'min': 0.81, 'mean': 0.84, 'std': 0.01, 'max': 0.87}
rand 0.63 {'min': 0.79, 'mean': 0.82, 'std': 0.01, 'max': 0.85}
rand 0.64 {'min': 0.78, 'mean': 0.8, 'std': 0.01, 'max': 0.83}

v_measure 0.50 {'min': 0.86, 'mean': 0.9, 'std': 0.01, 'max': 0.93}
v_measure 0.51 {'min': 0.88, 'mean': 0.91, 'std': 0.01, 'max': 0.93}
v_measure 0.52 {'min': 0.89, 'mean': 0.92, 'std': 0.01, 'max': 0.93}
v_measure 0.53 {'min': 0.9, 'mean': 0.92, 'std': 0.01, 'max': 0.94}
v_measure 0.54 {'min': 0.91, 'mean': 0.93, 'std': 0.01, 'max': 0.95}
v_measure 0.55 {'min': 0.91, 'mean': 0.93, 'std': 0.01, 'max': 0.95}
v_measure 0.56 {'min': 0.9, 'mean': 0.93, 'std': 0.01, 'max': 0.95}
v_measure 0.57 {'min': 0.9, 'mean': 0.92, 'std': 0.01, 'max': 0.94}
v_measure 0.58 {'min': 0.91, 'mean': 0.92, 'std': 0.01, 'max': 0.94}
v_measure 0.59 {'min': 0.9, 'mean': 0.91, 'std': 0.01, 'max': 0.93}
v_measure 0.60 {'min': 0.89, 'mean': 0.91, 'std': 0.01, 'max': 0.93}
v_measure 0.61 {'min': 0.89, 'mean': 0.9, 'std': 0.01, 'max': 0.92}
v_measure 0.62 {'min': 0.88, 'mean': 0.89, 'std': 0.01, 'max': 0.91}
v_measure 0.63 {'min': 0.87, 'mean': 0.88, 'std': 0.01, 'max': 0.9}
v_measure 0.64 {'min': 0.87, 'mean': 0.88, 'std': 0.01, 'max': 0.89}

completeness              {'min': (0.78, '0.64'), 'mean': (0.79, '0.64'), 'std': (0.01, '0.50'), 'max': (0.81, '0.64')}
homogeneity               {'min': (0.97, '0.64'), 'mean': (0.98, '0.64'), 'std': (0.0, '0.50'), 'max': (0.98, '0.64')}
mutual_info               {'min': (0.76, '0.64'), 'mean': (0.78, '0.64'), 'std': (0.01, '0.50'), 'max': (0.79, '0.64')}
rand                      {'min': (0.78, '0.64'), 'mean': (0.8 , '0.64'), 'std': (0.01, '0.50'), 'max': (0.83, '0.64')}
v_measure                 {'min': (0.87, '0.64'), 'mean': (0.88, '0.64'), 'std': (0.01, '0.50'), 'max': (0.89, '0.64')}
[Finished in 3596.8s] home
